url,results,error?
http://theminivalley.com,"['policies/shipping-policy', 'collections/fitted-muslin-sheets', 'policies/privacy-policy', 'products/personalized-baby-girl-romper-add-name-at-checkout-notes-copy-3', 'products/personalized-baby-girl-romper-add-name-at-checkout-notes-copy-1', 'products/horsey-lovey', 'pages/about', 'products/personalized-baby-girl-romper-add-name-at-checkout-notes-copy', 'products/personalized-dummy-clip-add-name-at-checkout-notes', 'products/personalized-baby-girl-romper-add-name-at-checkout-notes-copy-2', 'pages/faq', 'collections/best-sellers', 'products/personalized-embroidered-baby-boy-receiving-blanket-baby-blanket-with-name-baby-shower-gift-for-girl-or-boy', 'collections/swaddles-blankets', 'cart', 'products/puppy-lovey', 'policies/refund-policy', 'collections/gift-boxes', 'collections/apparel', 'products/personalized-embroidered-baby-blanket-swaddle-with-name-and-floral-personalized-baby-gift-cotton-muslin', 'products/personalized-animal-lovey-baby-shower-gift-baby-blanket-bunny-lovey-personalized-blanket-security-blanket-new-baby-gift', 'pages/contact', 'products/personalized-baby-romper-add-name-at-checkout-notes', 'products/personalized-baby-boy-romper-add-name-at-checkout-notes', 'products/personalized-embroidered-baby-receiving-blanket-baby-blanket-with-name-baby-shower-gift-for-girl-or-boy', 'policies/terms-of-service', 'products/neutral-goose-lovey', 'products/rush-personalized-embroidered-baby-receiving-blanket-personalized-baby-gift-baby-girl-baby-boy-blanket', 'collections/toys']",False
http://sevenfourclothing.com,"['products/bless-this-mess-black', 'collections/all', 'pages/contact', 'collections', 'products/s-trangers-to-f-amily-hoodie-black-copy', 'products/even-our-smoke-black-copy-1', 'products/sf-work-jacket-beige-copy', 'products/rings-egocentric-x-seven-four', 'products/copy-of-even-our-red', 'products/sf-graffiti-black', 'cart', 'products/struggle-reverse-stitch-tee-black', 'pages/about-sevenfour']",False
http://www.happymallows.co.uk,"['copy-of-events', 'subscribe-now', 'members', 'privacy-policy', 'cart', 'terms-of-use', 'stock-us', 'about-us', 'theshop', 'product-page/the-dessert-emporium-pack', 'recipes']",False
http://wpdevthai.com,"['product/payment-pro', 'payment', 'terms-and-conditions', 'blog', 'my-account/orders', 'my-account/downloads', 'privacy-policy', 'refund-policy', 'product/line-connect', 'product/starter-theme', 'product/elementor-addon', 'product/woocommerce-thai-address-autocomplete', 'cart', 'product/wpdt-property', 'building-an-online-store', 'cdn-cgi/l/email-protection', 'my-account', 'shop']",False
http://emylous.com,"['policies/shipping-policy', 'collections/events', 'collections/candy-shop', 'policies/privacy-policy', 'products/30oz-tumbler-with-handle', 'collections/tees', 'collections/dresses', 'collections/kimes-ranch', 'account/register', 'collections/montana-west', 'products/twisted-x-women-s-chukka-driving-moc', 'collections/accessories', 'collections/shoes', 'collections/subscription-boxes', 'collections/cowhides', 'account/login', 'collections/warehouse-sale', 'collections/gift-wrap-paper-goods', 'search', 'collections/black-friday-doorbusters', 'collections/for-the-home', 'collections/all-things-cowhide-custom-branding-available', 'cart', 'policies/refund-policy', 'collections/unbrush', 'collections/wrangler', 'collections/twisted-x', 'collections/for-the-guys', 'collections/kids', 'collections/tops', 'blogs/news', 'collections/halloween-sale-50-off', 'collections/car-fresheners', 'pages/contact-us', 'products/turquoise-edgewood-teardrop-earrings', 'policies/terms-of-service', 'collections/bottoms', 'collections/simply-southern', 'collections/outerwear', 'collections/cinch', 'collections/drinkware']",False
http://golfsteelcity.com,"['the-links-at-spring-church', 'courses/donegal-highlands-golf-course', 'activate', 'courses/white-oak-golf-course', 'courses/sylvan-heights-golf-course', 'courses/hiland-golf-course', 'contact', 'product/individual-card', 'cart', 'courses/delmar-golf-club', 'shop', 'courses/meadow-lane-golf-course', 'product/foursome-pack', 'courses/aubreys-dubbs-dred-golf-course', 'courses/grand-view-golf-club', 'rules', 'courses/duck-hollow-golf-club', 'courses/murrysville-golf-club', 'courses/harmony-ridge-golf-club', 'courses', 'courses/birdsfoot-golf-club', 'courses/rolling-fields-golf-course', 'courses/mannitto-golf-club']",False
http://shareskillsonline.com,"['terms-and-conditions', 'profile/shrutichitlangiya', 'become-franchisee-investor-partner-form', 'share-skills-associated-universities', 'listing-category/shareskillscolleges', 'profile/vaibhav2688', 'listing-category/shareskillsuniversities', 'about-us', 'gallery', 'expert-consultation', 'staff-details', 'listing-form', 'courses/audiobook-the-bliss-touching-empowering-hearts', 'book-appointment', 'profile/admin', 'courses/basic-nlp-course', 'rtcl_listing/share-skills-technology-academy-noida', 'privacy-policy', 'contact', 'courses/introduction-to-coding', 'listing-location/delhi', 'cart', 'rtcl_listing/alpha-delving-delhi', 'rtcl_listing/share-skills-academy-for-spoken-english-kharghar', 'dashboard', 'shop', 'listing-category/shareskillsacademy', 'share-skills-associated-colleges', 'void(0)', 'trainings', 'cancellation-policy', 'courses/advance-memory-booster', 'proactive-vs-reactive-you-choose', 'instructor-registration', 'student-registration', 'courses/basic-memory-booster', 'dashboard/retrieve-password', 'faqs', 'services', 'my-account', 'courses', 'listing-location/kolhapur', 'classroom-courses', 'rtcl_listing/nasam-academy-kharghar', 'online-courses', 'rtcl_listing/asha-competitive-careers-panvel', 'courses/introduction-to-ei-audiobook', 'profile/shrutivaibhav', 'classroom-hybrid-courses', 'rtcl_listing/bharati-vidyapeeth-college-of-hotel-tourism-management-studies-navi-mumbai', 'expert-appointment', 'rtcl_listing/sanjay-ghodawat-university-kolhapur', 'listing-location/navi-mumbai']",False
http://spetakular.com,"['collections/gifts', 'collections/human-drinkware', 'collections/dog-toy-collection', 'collections/coffee-mugs', 'account/login', 'collections/tumbles', 'collections/keychains', 'collections/wall-and-desk-signs', 'collections/car-magnets', 'collections/stickers', 'cart', 'collections/dog-bandanas-1', 'collections/magnets', 'collections/cats', 'collections/refrigerator-magnets', 'collections/pins', 'collections/dog-jewelry-hats-and-bows', 'collections/all-spetakular-exclusive-products', 'collections/magnet-bottle-openers', 'collections/glassware', 'collections/water-bottles', 'collections/dog-clothes']",False
http://killiconic.com,"['pages/shop', 'pages/the-archives', 'pages/about-kill-iconic', 'cart', 'pages/kill-iconic-music-magazine', 'pages/a-home-away-from-home', 'account/login', 'pages/blog']",False
http://zcaddystore.com,"['policies/contact-information', 'policies/shipping-policy', 'pages/about-us', 'blogs/the-zyntertainer-4', 'policies/privacy-policy', 'collections/zyndependence-day-2024', 'policies/terms-of-service', 'pages/bulk_order', 'products/zcaddy-metal-zyn-can', 'collections/the-z-caddy', 'cart', 'collections/all-colors', 'policies/refund-policy', 'pages/custom_laser_engrave']",False
